date,num_headnotes,num_opinions
1998-05-20,73,3044
1998-04-30,99,3381
1998-07-07,45,2570
1998-05-08,63,1626
1998-09-08,227,7078
1998-09-24,94,1440
1997-10-17,68,4168
1999-02-22,92,6613
1998-12-23,50,8829
1999-04-19,58,2635
1999-07-09,60,3010
1999-05-17,49,5111
1999-05-25,50,4276
1999-05-18,54,2087
1999-07-26,39,2780
1999-04-08,46,3083
1999-05-19,54,5722
1999-05-27,60,2586
1999-05-07,81,7637
1999-04-15,72,5182
1999-01-20,52,3987
1999-05-18,75,1554
1999-05-18,175,3703
1999-06-04,89,4966
1998-12-29,63,3262
2000-07-05,60,6465
2000-04-25,60,2512
2000-04-24,131,4822
2000-06-13,62,2161
2000-08-16,64,10613
2000-09-27,53,6129
2000-09-15,283,5321
2000-10-10,61,759
2000-10-23,58,1484
2000-10-12,44,2991
2000-08-01,102,10474
2000-10-02,52,1149
2000-05-31,34,3192
2000-05-15,54,2978
2000-06-05,69,3100
2000-10-16,47,4878
2000-06-15,75,4156
2000-02-08,61,2362
1999-11-03,65,4153
1999-12-30,75,2324
2000-04-26,75,4846
1996-11-22,52,1224
1996-12-23,44,5065
1996-12-06,66,2455
1996-06-19,51,3005
1996-07-25,45,3646
1996-10-09,42,1656
1996-06-05,37,1035
1996-07-26,51,2926
1996-12-06,39,3132
1996-11-26,112,4908
1997-01-27,49,2203
1996-09-11,51,2146
1996-06-25,60,3685
1997-01-27,48,1855
1996-09-30,73,3282
1996-10-09,85,2632
1996-05-30,113,2909
1996-05-29,56,5106
1997-02-04,47,1189
1996-09-06,49,5140
1996-06-13,41,1741
1996-08-01,193,5754
1997-05-20,66,3149
1997-06-10,55,2723
1997-05-29,44,3253
1997-04-25,51,3944
1997-06-04,58,3317
1997-08-01,54,6878
1997-07-18,51,5917
1997-07-30,58,3022
1997-08-26,38,2219
1997-02-24,103,3922
1997-02-19,89,5366
1997-05-05,87,3157
1997-08-08,66,2299
1997-05-01,59,1582
1997-03-12,45,4676
1997-07-07,49,4399
1997-06-19,57,3274
1997-01-14,58,2030
1996-12-06,155,6395
1997-08-27,55,1468
1997-03-26,94,5245
1996-12-16,89,1867
1997-02-07,81,2514
1996-12-12,40,1812
1997-09-26,53,3190
1997-05-20,61,1977
1998-10-19,60,1124
1999-01-04,40,2553
1998-10-06,62,2870
1998-11-23,71,3783
1999-02-12,46,4065
1998-10-27,61,4477
1998-12-21,77,3199
1998-09-15,52,3718
1998-10-27,44,2190
1998-12-03,53,9401
1999-02-09,59,3671
1999-01-11,55,2251
1999-01-20,45,8710
1998-12-07,59,2395
1998-10-01,34,1156
1998-10-20,64,3809
1998-11-17,59,1426
1999-01-26,53,3277
1998-09-23,51,3782
1998-09-08,58,4326
1998-11-25,351,10512
1998-10-20,47,996
1999-01-05,190,4896
1998-08-20,65,2431
1999-01-22,76,3411
1998-08-13,50,2557
1999-04-13,96,4252
1999-06-02,63,2680
1999-04-12,45,2190
1999-05-18,52,4513
1999-04-06,62,3999
1999-05-17,53,4761
1999-04-15,84,2489
1999-01-28,58,2655
1999-05-10,56,4133
1999-01-11,48,1876
1999-02-09,47,3934
1999-05-25,74,6648
1999-06-15,46,3522
1999-04-01,54,6254
1999-04-26,62,3033
1999-06-23,346,5980
1999-07-13,99,6453
1999-04-21,74,2109
1999-05-10,113,3978
1999-07-06,117,593
1998-03-06,77,3306
1998-04-16,93,3511
1998-06-10,50,3621
1998-06-18,65,5450
1998-02-19,58,651
1998-08-12,62,1342
1998-07-08,93,6105
1998-03-27,100,3917
1998-07-07,60,3878
1998-06-23,104,4094
1998-03-30,53,3004
1998-06-15,68,1262
1998-07-06,56,6155
1998-02-20,59,4193
1998-09-21,44,3355
1998-05-29,88,7520
1998-05-13,71,4746
1998-02-09,57,2690
1998-03-10,81,1354
1998-04-02,52,1201
1998-08-06,50,1411
1998-05-28,50,7445
1998-03-18,225,3117
1998-07-15,56,5020
1998-04-21,69,3030
1998-03-25,58,2691
1998-07-16,47,4157
1998-09-15,53,1100
1998-07-24,100,3426
1998-03-18,48,4698
1998-08-10,53,3152
1998-06-11,45,3412
1998-06-12,57,1725
1998-03-18,75,2516
1998-03-18,51,4713
1998-06-19,49,2835
1998-04-16,58,2712
1998-04-21,45,2543
1998-06-01,48,1142
1998-08-25,54,2161
1997-11-05,73,4302
1998-02-03,52,7496
1998-05-29,138,7858
1998-05-11,60,2163
1998-08-31,43,1845
1998-02-20,48,4344
1998-07-27,57,1847
1998-05-07,63,2994
1998-04-06,49,2327
1998-02-25,60,2993
1998-01-06,44,1022
1998-04-28,54,3590
1998-03-26,75,6416
1998-08-07,89,3500
1998-05-07,76,1692
1999-11-02,70,6928
1999-10-07,100,5879
1999-08-16,42,3752
2000-01-04,50,2159
1999-08-05,89,1651
1999-09-03,119,2313
1999-12-28,48,3183
1999-09-10,57,4191
2000-02-15,66,5610
2000-03-01,112,6240
2000-03-27,41,3560
1999-12-07,55,1386
1999-08-16,43,4436
1999-08-31,61,5349
1999-11-18,80,2999
1999-11-17,88,5823
2000-03-10,55,4298
2000-01-12,59,5668
1999-12-03,204,5873
2000-04-17,151,19010
1999-12-30,158,16806
2000-02-08,141,3714
2000-04-14,101,3407
2000-04-17,61,3524
2000-06-27,64,3743
2000-06-21,122,5606
2000-08-15,81,4343
2000-08-18,61,3925
2000-10-27,56,1920
2000-03-20,71,3683
2000-07-03,96,5445
1998-08-18,62,4926
1998-09-11,60,3364
1998-09-23,64,2919
1998-07-07,55,2366
1998-11-25,55,4441
1998-12-16,60,3046
1998-12-23,53,2156
1998-06-09,61,4519
1999-08-12,50,2712
1999-03-04,115,8019
1999-05-19,51,2460
1999-05-10,49,2797
1999-05-05,56,3898
1999-03-08,97,11154
1999-03-31,96,4392
1999-03-24,59,2346
1999-05-05,46,2965
1999-03-05,36,774
1999-06-16,56,3840
1999-03-11,79,8949
1999-04-29,83,3706
1999-06-07,76,3847
1999-04-07,52,6170
1999-05-19,50,3935
1999-05-07,78,4865
1999-02-15,86,5750
1999-06-30,75,13694
1999-03-11,130,10626
1998-12-03,90,10873
1999-10-13,88,3867
1999-07-02,60,4271
1999-12-13,55,6147
1999-09-17,84,2296
2000-02-23,84,5552
1999-12-29,42,2021
1999-06-30,43,633
1999-08-04,49,5470
1999-07-09,55,2918
1999-12-30,45,2710
1999-09-09,62,3442
2000-03-03,47,4894
2000-02-21,89,500
1999-10-29,52,3395
1999-08-19,61,2203
1999-06-29,53,2312
1999-11-08,54,3029
1999-11-16,55,1844
1999-08-31,38,1864
1999-06-23,62,2709
1999-07-08,53,16014
1999-12-07,60,2879
1999-11-17,60,2206
2000-01-19,55,3852
1999-08-03,114,3937
2000-03-08,94,2768
1999-10-13,76,2125
1900-08-03,5303,3614
1901-01-25,141,265
1900-05-03,2186,992
1900-05-03,1549,2174
1900-08-23,37,77
1900-08-23,7332,3311
1900-05-03,95,709
1900-08-24,9281,2994
1900-05-02,2114,1638
1900-01-09,857,1001
1900-08-23,4636,909
1900-01-29,1202,1008
1900-10-23,5020,7519
1900-05-03,7436,1946
1901-02-25,5145,1647
1901-02-25,7275,1273
1900-08-23,3451,550
1908-01-13,131,209
1908-09-04,1850,5269
1907-01-18,1592,2428
1907-01-16,960,1464
1908-01-13,206,961
1907-08-28,1647,3102
1907-02-25,1573,6792
1907-02-25,513,1625
1907-02-25,357,434
1908-02-25,463,229
1908-01-17,1110,1640
1908-09-02,815,976
1907-01-15,633,1111
1907-02-27,1590,998
1907-08-28,3022,3911
1907-02-27,520,1053
1908-02-25,432,146
1908-02-25,502,535
1908-02-25,781,1482
1907-08-28,932,1174
1908-02-26,2079,7030
1908-09-02,2198,2001
1913-03-04,320,108
1913-05-06,902,1760
1912-11-07,173,1993
1912-02-06,1731,1161
1913-03-20,1555,1090
1913-04-10,1243,997
1913-04-14,131,3633
1913-03-08,999,3774
1913-04-08,2556,2159
1912-11-07,1980,1022
1912-03-23,1371,543
1912-06-14,114,990
1913-05-16,84,304
1913-01-09,100,425
1913-03-04,1668,3891
1912-11-07,1308,2996
1912-05-05,163,1068
1912-05-05,5121,2685
1912-01-30,311,2209
1913-05-31,120,1091
1909-07-01,1014,1953
1910-09-01,3629,1430
1910-02-28,1751,2600
1909-08-25,1634,1006
1910-02-28,1582,1812
1910-08-02,2484,3078
1909-08-25,303,1253
1910-08-29,915,2492
1910-08-30,1532,532
1910-01-06,32,75
1910-08-25,752,1358
1910-09-01,1648,3662
1901-10-02,1727,5463
1901-10-01,2706,2373
1902-08-28,578,1437
1902-08-28,1344,200
1902-08-28,1057,643
1901-10-02,1107,1995
1902-04-25,1957,5012
2000-03-03,66,2645
1999-10-20,60,1861
2000-01-11,115,4641
2000-02-29,60,4451
1999-08-23,97,3101
1999-12-10,60,3811
2000-02-11,43,3473
1999-11-03,65,3272
1999-08-09,67,3829
1999-12-28,66,2861
2000-02-11,62,2980
2000-02-24,73,4535
2000-02-09,69,4933
1999-09-03,57,2826
2000-02-01,95,4194
1999-10-06,53,16936
1999-07-15,50,4927
2000-01-10,59,5126
1999-11-19,64,1684
2000-01-04,60,2937
1999-12-23,68,3533
1999-10-13,158,2923
1999-09-30,116,2471
1999-09-13,126,584
2000-01-24,68,5271
2000-06-02,98,5048
2000-09-05,52,6523
2000-05-23,56,4039
2000-06-19,62,2488
2000-06-06,55,8339
2000-08-29,70,2727
2000-11-09,54,2614
2000-04-17,42,649
2000-05-17,56,1561
2000-05-25,54,6100
2000-07-13,57,1788
2000-06-14,57,1199
2000-08-22,53,4910
2000-06-15,62,4719
2000-05-17,52,3871
2000-06-27,51,2291
2000-07-20,103,1539
2000-08-09,53,2784
2000-11-20,64,3412
2000-05-30,63,5446
2000-11-15,45,3315
1999-09-14,102,8833
2000-01-19,54,2056
1999-07-28,46,1774
1999-09-10,55,1481
2000-03-09,54,5491
1999-08-19,83,1494
1999-12-01,59,19430
1999-09-22,54,1175
2000-03-02,55,4185
2000-03-14,69,1520
2000-01-10,67,3806
1999-07-12,44,4405
1999-09-03,193,3564
1999-09-16,63,2506
2000-03-14,60,853
2000-03-13,45,2474
1999-11-05,62,5499
1999-09-14,51,3670
1999-08-24,44,4076
1999-11-03,44,913
1999-09-10,193,5111
2000-02-01,76,5037
1999-08-06,60,3766
1999-09-16,125,3268
1999-07-28,109,2525
1996-12-24,45,4642
1997-05-21,74,7055
1997-07-28,42,2045
1997-03-11,48,2806
1997-03-17,90,1790
1997-04-02,41,3807
1997-02-12,74,3255
1997-01-16,65,2598
1997-03-03,43,1314
1997-02-24,55,891
1997-05-29,56,2225
1997-01-29,66,3712
1997-04-10,52,3742
1997-03-19,50,3382
1997-04-14,82,2349
1997-09-04,52,1173
1997-04-01,45,3301
1997-08-15,46,2532
1996-12-30,58,3752
1997-06-23,44,5037
1997-01-14,87,3609
1997-03-13,53,4640
1997-01-29,113,5126
1997-03-25,72,2219
1997-06-17,72,3460
1997-06-18,53,616
1997-06-02,49,3010
1997-07-31,56,2729
1997-08-06,81,3263
1997-08-25,76,3926
1997-08-08,72,8100
1997-07-30,58,3376
1997-04-17,64,3711
1997-07-15,57,5186
1997-04-04,49,3170
1997-06-02,51,2767
1997-05-30,42,3257
1996-12-18,41,3530
1997-02-26,52,4529
1997-06-25,48,2344
1997-06-16,57,2175
1997-05-08,92,2922
1997-08-07,53,1264
1997-01-14,68,4283
1997-06-02,123,3136
1997-08-22,100,4316
1997-07-28,86,8327
2000-05-10,47,6183
2000-04-06,61,2213
2000-04-26,73,2038
2000-06-07,84,2412
2000-08-14,59,6972
2000-07-10,109,9040
2000-06-19,166,4086
2000-11-15,142,3872
2000-09-28,58,1095
2000-10-02,49,897
2000-07-06,62,2659
2000-06-29,59,5739
2000-10-19,57,4898
2000-07-18,49,10006
2000-06-28,46,3143
1998-11-13,93,2920
1998-07-08,58,2540
1998-07-20,58,3428
1998-07-30,61,3678
1999-02-11,24,244
1999-01-20,49,2087
1998-11-10,54,2712
1999-01-26,48,3763
1997-05-28,156,5112
1997-01-28,66,4547
1997-04-09,44,2159
1997-04-16,51,2499
1997-07-16,109,5131
1997-02-07,62,1983
1997-06-27,56,2388
1997-02-11,42,2706
1997-05-19,74,1861
1997-04-30,44,2618
1997-06-20,87,2899
1997-06-17,64,4128
1997-05-12,48,1889
1997-03-17,53,1618
1997-02-17,53,2410
1997-05-08,56,2487
1997-03-11,79,3786
1997-09-03,42,9017
1997-08-28,45,2418
1997-04-03,91,1039
1997-08-12,64,3172
1997-07-07,117,2924
1999-03-04,56,2654
1999-04-16,83,2061
1999-02-05,47,2832
1999-02-24,58,20577
1999-06-08,98,1386
1999-06-04,60,5065
1999-05-10,66,2717
1999-06-18,62,2405
1999-07-06,55,5205
1999-01-25,44,1312
1999-04-28,81,3987
1999-03-05,62,6117
1999-03-22,52,4277
1999-03-17,51,254
1999-06-22,93,4369
1999-06-24,143,3486
1999-03-17,61,2650
1999-03-24,65,2367
1900-08-23,4809,855
1900-08-23,128,1947
1900-08-23,4664,1235
1901-02-25,213,2918
1900-05-03,1263,6450
1900-05-02,166,866
1900-02-07,189,369
1909-08-28,813,483
1909-07-01,4415,4203
1909-08-31,2025,4364
1910-08-30,1675,1622
1910-08-22,1536,2517
1910-01-06,1363,1634
1910-08-01,1210,1259
1910-07-26,599,90
1910-08-31,1786,2148
1910-08-31,1231,1410
1910-07-26,91,696
1910-08-16,1985,2113
1910-07-27,615,736
1909-01-19,2563,3193
1910-08-16,676,799
1910-08-03,1382,1380
1909-08-25,2098,1160
1910-08-10,1511,1950
1909-01-12,1237,742
1909-07-01,563,557
1910-02-28,1588,1652
1912-05-05,806,1289
1912-03-23,258,425
1912-06-17,190,1344
1913-03-20,813,605
1913-01-09,526,1492
1912-11-07,1289,1721
1912-06-14,792,5260
1913-05-06,86,694
1912-11-09,871,1495
1913-01-23,1152,2512
1913-05-06,140,542
1913-04-10,478,2656
1912-03-23,755,1543
1912-10-24,1839,5884
1913-01-27,1912,2578
1912-09-10,1334,253
1913-05-06,30,564
1913-05-09,2470,4188
1912-02-06,1373,500
1913-01-14,1644,5092
1913-03-19,2206,1519
1913-04-10,672,623
1912-03-28,410,2339
1907-02-27,1165,1475
1908-02-25,542,577
1908-01-17,1103,1561
1907-02-27,2520,3841
1907-02-27,1680,1473
1908-02-26,1933,1505
1907-02-27,4105,3616
1908-02-26,892,2518
1908-02-25,1313,1967
1908-02-26,1846,2224
1902-01-08,2380,1964
1902-08-28,1609,3288
1902-08-28,2210,4415
1902-04-25,1239,459
1902-08-28,956,453
1903-02-26,1302,2245
1902-08-28,700,408
2000-12-07,57,5080
2000-05-16,63,4820
2000-05-05,127,697
2000-06-30,85,2763
2000-06-22,400,5270
2000-08-04,109,2555
2000-09-18,63,2539
2000-10-05,81,4776
2000-08-09,51,6380
2000-09-28,62,2420
2000-06-07,53,1447
2000-04-20,60,2030
2000-07-11,41,2797
2000-04-14,56,2587
2000-10-23,57,6593
2000-08-21,54,4019
2000-06-05,81,2249
2000-07-06,69,4304
2000-06-26,54,6614
2000-03-10,62,1716
2000-06-14,63,2620
2000-10-16,158,5795
2000-03-15,54,3865
1996-05-01,48,4331
1996-05-22,48,2522
1996-06-20,73,4274
1996-06-28,55,3112
1996-09-13,49,3143
1996-08-21,50,1803
1996-08-16,65,4870
1996-11-22,51,5302
1996-11-18,114,3460
1996-06-10,53,6512
1996-09-16,50,1368
1996-07-22,62,4687
1996-11-20,54,2072
1996-11-22,56,3286
1996-10-02,43,1817
1996-05-16,48,2130
1996-07-15,52,2703
1996-07-11,42,3677
1996-07-02,53,3294
1996-08-26,51,2220
1996-07-10,86,2699
1996-08-13,57,2132
1996-05-29,81,4717
1996-05-31,84,2147
1996-06-10,61,3204
1996-05-20,50,3350
1996-07-10,122,2470
1996-11-15,53,1087
1996-12-05,52,5374
1996-05-28,47,2448
1996-07-15,72,2618
1996-09-23,124,5120
1996-10-07,57,1683
1996-07-23,51,2514
1996-09-16,52,2831
1996-08-30,69,5022
1996-11-27,73,7200
1997-01-08,116,615
1996-12-06,90,10660
1996-02-29,60,3071
1996-08-01,56,1707
1996-07-24,49,3656
1997-01-07,61,6937
1996-11-26,47,2631
1996-12-23,54,3846
1996-08-07,54,4558
1996-08-29,58,3565
1996-05-30,57,4414
1996-09-10,52,2673
1998-07-23,61,4855
1998-11-17,53,2918
1998-05-20,53,11139
1998-09-11,60,2882
1999-02-25,115,5962
1998-12-03,48,3047
1999-02-17,48,2106
1998-12-14,53,3344
1998-08-19,52,3950
1998-10-06,50,2152
1998-09-08,60,2460
1998-11-17,51,3592
1998-10-03,62,3495
1999-01-06,51,2163
1998-12-21,77,5162
1998-12-03,54,8029
1998-11-25,53,3756
1998-09-03,129,1723
1998-12-03,129,5160
1998-10-21,116,2467
1998-06-23,72,8970
1998-07-22,52,5379
1998-05-27,50,2107
1998-04-24,50,3932
1998-02-09,50,3637
1998-08-27,45,3125
1998-08-28,51,3212
1998-03-05,57,4419
1998-06-11,43,2522
1998-06-09,58,3160
1998-04-21,111,3223
1998-03-16,45,6544
1997-12-17,58,2290
1998-03-03,44,1902
1998-02-04,53,3866
1998-03-19,54,4317
1998-05-22,70,2166
1998-06-11,51,2530
1998-08-27,55,5274
1998-06-03,66,2425
1998-07-07,132,1488
1998-04-03,68,3893
1998-05-12,78,2583
1998-07-13,124,4006
1998-04-27,70,2150
1998-04-20,98,2068
1996-05-30,61,7750
1996-04-05,98,1820
1996-05-31,334,10522
1996-10-07,52,1821
1996-10-28,77,1585
1996-12-09,51,1814
1996-12-03,53,2499
1995-05-01,66,6652
1997-01-08,87,1939
1996-12-27,70,2556
1995-06-30,88,1668
1996-07-18,58,5938
1997-01-13,50,1243
1996-12-23,43,3183
1996-07-24,54,4800
1996-12-06,47,11577
1996-09-12,58,1742
1996-07-23,53,1868
1996-12-06,53,3954
1996-05-07,46,3088
1996-10-18,58,2962
1996-09-06,99,4379
1996-11-26,52,5779
1996-11-27,53,1049
1996-08-28,54,3617
1996-10-25,94,5574
1996-12-04,41,3499
1996-12-27,103,4149
1900-08-23,4945,899
1900-08-23,384,2440
1900-05-03,3367,2656
1900-08-23,2076,2976
1900-01-16,751,8423
1900-05-02,140,1253
1900-02-08,139,916
1900-08-23,999,1937
1900-08-24,4807,1646
1901-02-25,2619,1443
1901-02-25,586,1346
1900-05-03,18726,9309
1900-08-23,9666,2094
1910-08-23,601,1452
1910-08-16,621,1854
1909-07-01,1215,2180
1910-08-29,713,229
1910-08-30,628,1633
1910-08-29,306,964
1910-08-29,967,1307
1910-08-09,456,1247
1910-02-28,893,565
1909-01-12,1126,622
1910-02-28,2088,2464
1909-08-31,631,473
1910-02-28,1125,3191
1910-09-01,776,645
1909-01-12,3129,3755
1910-08-29,1536,1611
1910-08-10,1517,1116
1910-07-27,1676,765
1910-01-06,1192,1858
1910-08-22,377,751
1910-08-29,1101,3992
1909-01-12,916,80
1909-07-01,1994,1501
1902-08-28,1214,138
1901-10-02,647,985
1902-01-10,1431,3843
1901-10-02,2328,3702
1903-02-26,3268,10550
1902-08-28,453,170
1903-02-26,1141,2511
1903-01-14,1390,4196
1902-01-13,2366,4590
1902-04-25,3912,7037
1902-04-25,942,2737
1901-10-02,3318,1702
1910-07-26,2415,1005
1909-08-31,897,2556
1909-08-31,166,657
1909-01-12,1239,1572
1910-08-09,1411,573
1910-01-06,38,238
1910-09-01,1235,2252
1910-01-06,506,795
1910-08-16,514,924
1909-07-17,1151,4848
1910-08-22,813,2812
1910-08-25,2025,2567
1909-08-28,1301,1101
1909-01-12,166,945
1913-06-23,21,610
1913-05-09,1329,1608
1912-05-05,1252,2296
1912-05-15,766,1888
1913-04-03,4256,10570
1912-06-14,1431,563
1912-11-07,618,188
1912-05-07,1645,1382
1902-04-25,3040,2976
1902-04-25,2558,1512
1903-01-14,1376,5465
1901-10-01,3848,2257
1901-02-28,3918,10385
1902-02-01,472,1801
1902-08-28,503,1023
1902-08-28,1795,1563
1901-10-01,822,1189
1902-04-25,1319,1047
1903-01-14,176,3030
1902-04-25,1187,3216
1908-01-14,3809,2215
1908-02-25,397,1355
1908-02-25,1745,4762
1907-08-28,2709,1312
1907-01-15,815,220
1907-02-27,710,1083
1908-09-02,1215,2662
1908-09-04,1566,2598
1908-01-13,523,1811
1908-02-25,558,527
1901-02-26,1841,2944
1900-05-02,1280,573
1900-08-24,1643,3168
1901-02-25,125,2697
1901-02-28,712,3550
1900-08-23,170,3799
1912-09-14,1363,3617
1912-02-06,290,495
1913-03-20,104,1471
1912-08-13,1847,835
1912-06-14,414,458
1912-11-11,2301,1330
1912-05-05,830,1262
1912-11-07,303,1353
1912-02-06,854,1628
1912-05-05,929,858
1913-03-04,335,651
1913-01-27,2072,1872
1912-03-23,698,3933
1912-05-15,1566,2427
1913-05-16,1192,6451
1907-02-25,1048,865
1907-02-27,1852,4680
1908-09-02,1969,3391
1907-01-15,785,1086
1908-01-13,7234,4540
1908-01-13,905,1813
1907-08-30,944,1398
1907-02-27,3585,10784
1997-08-07,59,2998
1997-10-10,46,3155
1997-11-13,63,3536
1997-08-20,55,2777
1997-09-19,44,2972
1997-12-01,69,3839
1997-10-10,76,7132
1997-09-29,58,6404
1997-10-28,52,3580
1997-11-06,50,4693
1997-09-22,65,1072
1997-09-08,54,5239
1997-11-12,63,7694
1997-10-14,53,3407
1997-09-03,51,5681
1998-01-23,56,2028
1997-11-20,91,10024
1997-05-20,56,3445
1998-01-20,49,2143
1997-09-16,59,1598
1997-08-15,113,6386
1998-02-06,63,3028
1997-06-17,63,5643
1997-12-09,84,3148
1998-07-20,625,4989
2004-12-03,45,3575
2004-05-21,70,3935
2004-04-21,48,2037
2004-06-16,101,7737
2004-11-18,109,6275
2004-10-13,56,4027
2004-11-22,65,2281
2004-05-13,76,2392
2005-01-06,80,4556
2004-06-30,73,1086
2004-07-23,84,8646
2004-07-19,66,2580
2004-11-24,45,4115
2004-09-16,89,3447
2004-12-01,122,5635
2004-08-04,82,3272
2005-03-30,82,3949
2005-02-21,66,4604
2005-05-23,51,2104
2005-02-28,51,2714
2005-01-14,62,5005
2005-02-11,62,4652
2005-06-02,55,3075
2005-04-12,106,6636
2005-04-21,61,3422
2005-04-14,91,7510
2005-05-20,85,11589
2005-04-07,98,3361
2005-02-28,95,8401
2005-02-24,159,7124
2005-03-01,55,3237
2001-04-26,68,4306
2001-04-19,50,5592
2001-05-14,67,2685
2001-06-26,64,4656
2001-07-17,90,2571
2001-07-19,45,3920
2001-08-01,119,5386
2000-11-22,81,2861
2001-03-25,56,1357
2000-12-14,61,3461
2001-01-04,54,4932
2001-03-15,54,3115
2001-02-14,63,5738
2001-08-29,55,863
2000-11-30,57,2453
2000-12-14,62,2326
2000-04-28,70,3718
2001-04-19,74,6230
