date,num_headnotes,num_opinions,year
1996-11-11,38,2131,1996
1996-11-11,41,2645,1996
1996-11-18,56,1785,1996
1996-11-18,68,1738,1996
1996-11-25,53,1044,1996
1996-12-16,39,3052,1996
1996-12-23,47,2206,1996
1996-12-23,45,294,1996
1996-11-04,41,626,1996
1996-12-16,84,3523,1996
1996-12-09,47,653,1996
1996-09-30,43,853,1996
1996-10-14,27,1885,1996
1996-10-21,51,3423,1996
1996-09-30,43,358,1996
1996-09-23,37,3057,1996
1996-09-30,49,993,1996
1996-10-21,45,997,1996
1996-11-24,50,1738,1996
1996-12-09,49,953,1996
1996-09-23,39,691,1996
1996-11-25,38,231,1996
1996-09-23,38,1173,1996
1996-12-23,33,474,1996
1996-11-25,36,1195,1996
1999-11-11,65,1481,1999
1999-12-16,53,1489,1999
1999-10-28,37,300,1999
1999-11-18,38,1643,1999
1999-11-11,46,1386,1999
1999-12-16,29,145,1999
1999-10-28,55,1087,1999
1999-12-02,81,2363,1999
1999-10-21,38,1477,1999
1999-10-21,61,2395,1999
1999-11-04,44,1746,1999
1999-11-11,92,3579,1999
1899-12-02,308,1056,1899
1900-03-10,1249,316,1900
1900-02-24,202,812,1900
1900-03-10,549,1109,1900
1899-12-16,950,169,1899
1899-10-28,1487,4060,1899
1899-11-18,1094,933,1899
1900-01-27,1952,1145,1900
1899-11-11,227,101,1899
1900-01-27,667,1921,1900
1900-02-10,300,1256,1900
1900-03-10,1408,1250,1900
1900-03-03,1471,1345,1900
1899-12-23,267,1566,1899
1899-11-04,389,1391,1899
1900-01-06,347,1026,1900
1899-10-28,1306,3968,1899
1900-03-03,1677,552,1900
1900-01-13,414,1243,1900
1899-11-11,386,2035,1899
1900-03-03,2440,1883,1900
1899-04-08,425,809,1899
1900-02-03,782,920,1900
1900-02-03,678,637,1900
1996-09-30,33,2452,1996
1996-12-23,46,827,1996
1996-11-25,85,6303,1996
1996-12-09,48,1307,1996
1996-11-18,44,3421,1996
1996-12-09,35,1360,1996
1996-10-07,54,2248,1996
1996-10-14,25,186,1996
1996-10-28,36,2624,1996
1996-11-18,38,1461,1996
1996-11-25,35,1268,1996
1996-11-25,44,1163,1996
1996-12-09,37,1926,1996
1996-12-23,46,3020,1996
1996-10-21,43,633,1996
1996-12-09,39,182,1996
1996-12-09,51,3887,1996
1996-11-04,44,417,1996
1996-12-16,44,2637,1996
1996-12-23,45,4558,1996
1996-12-16,44,3205,1996
1996-10-07,46,2079,1996
1996-09-30,37,1734,1996
1996-10-07,38,1607,1996
1996-10-14,42,175,1996
1996-11-25,36,249,1996
1996-10-07,42,1079,1996
1996-10-21,36,749,1996
1996-10-28,48,1902,1996
1996-11-25,55,821,1996
1996-11-25,32,1749,1996
1996-12-16,25,363,1996
1996-09-30,57,929,1996
1996-12-16,164,2173,1996
1996-09-30,128,4553,1996
1996-10-21,102,1990,1996
1996-12-23,27,93,1996
1996-12-09,24,104,1996
2000-02-03,50,1352,2000
2000-02-10,52,596,2000
2000-02-24,48,1905,2000
2000-02-24,50,4066,2000
2000-03-23,95,2320,2000
2000-02-10,39,1025,2000
2000-01-27,37,1989,2000
2000-01-06,49,1991,2000
2000-02-24,62,1697,2000
2000-01-20,49,2259,2000
2000-01-27,49,2213,2000
2000-02-24,43,2006,2000
2000-03-02,32,3275,2000
2000-02-10,57,1100,2000
2000-02-10,48,1975,2000
2000-03-09,50,2679,2000
2000-03-23,31,2596,2000
2000-01-20,37,4692,2000
2000-10-12,40,1777,2000
2000-10-18,38,3394,2000
2000-10-12,27,95,2000
2000-09-21,42,1720,2000
2000-10-12,44,1446,2000
2000-09-07,37,485,2000
2000-11-09,54,1408,2000
2000-11-02,45,2246,2000
2000-09-28,42,1346,2000
2000-09-07,26,422,2000
2000-11-09,43,2768,2000
2000-10-12,37,306,2000
2000-09-28,41,1252,2000
2000-10-12,44,2703,2000
2000-09-21,77,2768,2000
2000-10-05,78,2436,2000
2000-11-16,72,1811,2000
2000-05-18,97,6458,2000
2000-04-20,44,95,2000
1833-02-01,27,436,1833
1999-05-06,37,1374,1999
1999-04-22,38,1614,1999
1999-05-06,42,1328,1999
1999-04-08,34,1401,1999
1999-04-22,51,2681,1999
1999-04-29,140,1393,1999
1999-05-06,40,2370,1999
1999-05-20,27,176,1999
1999-05-06,37,2439,1999
1999-03-25,77,1867,1999
1999-04-15,30,893,1999
1999-04-29,38,2096,1999
1996-06-17,48,1986,1996
1996-06-21,20,136,1996
1996-06-24,42,2756,1996
1996-09-09,56,1876,1996
1996-06-17,50,1117,1996
1996-07-12,31,480,1996
1996-06-03,52,270,1996
1996-07-08,27,140,1996
1996-06-10,41,2098,1996
1996-07-08,54,998,1996
1996-09-16,27,125,1996
1996-06-24,40,4384,1996
1996-07-15,29,151,1996
1996-07-15,28,552,1996
1996-09-16,41,1727,1996
1996-07-01,39,636,1996
1996-09-16,28,347,1996
1996-07-08,97,1760,1996
1996-07-15,140,2111,1996
1996-07-01,39,2574,1996
1996-06-03,49,3054,1996
1996-07-15,38,2469,1996
1998-02-12,37,2640,1998
1998-01-15,39,1423,1998
1998-02-12,39,3723,1998
1998-02-19,33,1765,1998
1998-02-12,38,650,1998
1998-01-29,38,1879,1998
1998-02-05,25,242,1998
1998-01-15,47,639,1998
1998-02-12,32,382,1998
1998-02-05,48,2808,1998
1998-02-12,27,902,1998
1998-01-15,131,584,1998
1998-01-15,179,4091,1998
1999-02-04,42,823,1999
1999-01-28,57,371,1999
1999-03-04,42,3908,1999
1999-01-28,40,249,1999
1999-02-04,43,2751,1999
1999-01-14,52,2131,1999
1999-03-11,65,2215,1999
1999-01-28,39,3955,1999
1999-02-04,29,155,1999
1999-03-04,43,1216,1999
1999-02-11,56,2490,1999
1999-01-07,51,2093,1999
1999-02-11,36,978,1999
1999-02-18,37,1321,1999
2000-09-14,28,193,2000
2000-10-05,39,1569,2000
2000-10-18,47,1032,2000
2000-11-09,40,3044,2000
2000-10-05,47,3657,2000
2000-09-15,57,255,2000
2000-11-02,33,240,2000
2000-11-16,94,668,2000
2000-11-02,30,128,2000
2000-11-16,91,1204,2000
2000-09-14,27,327,2000
2000-09-14,26,264,2000
2000-10-26,39,1942,2000
2000-09-21,47,2346,2000
2000-11-02,40,1491,2000
2000-09-28,39,1666,2000
2000-09-21,40,3841,2000
2000-10-18,56,884,2000
2000-09-28,52,2642,2000
2000-10-12,113,2941,2000
2000-10-26,33,1162,2000
2000-11-09,60,3020,2000
2000-10-12,49,246,2000
2000-11-09,36,1936,2000
2000-09-28,42,2679,2000
2000-03-09,50,4939,2000
2000-03-02,37,3994,2000
2000-02-03,42,96,2000
2000-02-10,115,3985,2000
2000-03-02,30,115,2000
2000-03-09,56,2031,2000
2000-01-27,50,376,2000
2000-02-17,56,169,2000
2000-02-17,42,487,2000
2000-01-27,109,1394,2000
2000-03-02,115,5625,2000
2000-01-20,134,2815,2000
2000-01-20,66,4276,2000
2000-02-24,30,1346,2000
2000-03-09,42,2418,2000
2000-03-02,41,1280,2000
2000-03-09,46,132,2000
2000-03-30,66,1819,2000
1998-07-24,61,676,1998
1998-10-01,27,196,1998
1998-10-08,40,634,1998
1998-07-02,45,2621,1998
1998-09-24,43,2388,1998
1998-10-15,81,108,1998
1998-09-24,27,234,1998
1998-07-02,50,2085,1998
1998-10-15,80,3251,1998
1998-09-10,26,327,1998
1998-10-28,27,176,1998
1998-10-15,69,2630,1998
1998-07-09,38,4687,1998
1998-09-14,52,85,1998
1998-10-29,59,2108,1998
1998-07-02,44,1336,1998
1998-09-24,34,3257,1998
1998-09-17,53,357,1998
1998-07-09,40,1546,1998
1998-10-01,26,142,1998
1998-10-08,28,207,1998
1998-09-17,91,139,1998
1998-09-17,98,2069,1998
1998-10-01,45,3467,1998
1998-10-15,45,1129,1998
2000-01-20,27,3756,2000
2000-03-30,57,2582,2000
2000-01-13,54,3104,2000
2000-01-27,35,3825,2000
2000-01-27,42,884,2000
2000-02-10,62,2250,2000
2000-02-17,26,452,2000
2000-02-24,40,1227,2000
2000-01-13,41,842,2000
2000-03-02,39,1004,2000
2000-01-06,62,4451,2000
2000-03-30,37,498,2000
2000-03-02,40,4246,2000
2000-03-30,47,1443,2000
2000-02-17,36,794,2000
2000-02-24,53,1268,2000
2000-02-17,40,1894,2000
2000-03-23,29,110,2000
2000-03-09,153,1425,2000
1999-05-27,66,1963,1999
1999-03-18,70,3149,1999
1999-05-13,41,2028,1999
1999-05-20,31,213,1999
1999-04-15,38,707,1999
1999-03-25,44,2145,1999
1999-05-13,38,908,1999
1999-05-13,45,2251,1999
1999-04-15,41,369,1999
1999-05-13,49,1640,1999
1999-03-18,42,1098,1999
1999-04-22,36,2254,1999
1999-04-08,35,651,1999
1999-05-27,53,3963,1999
1999-04-15,61,4202,1999
1999-05-13,39,2588,1999
1999-05-13,35,2558,1999
1998-05-14,26,804,1998
1998-05-21,31,2921,1998
1998-05-07,103,1871,1998
1998-06-10,97,181,1998
1998-06-11,38,2409,1998
1998-06-18,43,2899,1998
1998-05-07,37,4819,1998
1998-06-04,37,759,1998
1998-05-07,45,1852,1998
1998-04-30,75,3760,1998
1998-05-14,38,1818,1998
1998-06-11,40,2054,1998
1998-06-11,27,411,1998
1998-04-16,52,2375,1998
1998-04-16,41,788,1998
1998-03-05,73,3989,1998
1998-03-09,80,2021,1998
1998-03-12,36,2628,1998
1998-03-19,81,4047,1998
1998-04-16,43,3493,1998
1998-04-16,25,121,1998
1998-02-26,28,120,1998
1998-04-23,40,4508,1998
1998-04-23,42,1656,1998
1998-02-26,28,95,1998
1998-03-05,40,1934,1998
1998-03-19,38,1284,1998
1998-04-23,73,3323,1998
1998-04-09,27,178,1998
1998-03-26,27,281,1998
1998-02-26,46,1381,1998
1998-02-26,26,677,1998
1998-03-19,45,3438,1998
1998-02-26,44,1705,1998
1998-04-16,28,235,1998
1999-05-20,36,216,1999
1999-05-13,81,305,1999
1999-04-15,28,301,1999
1999-03-18,80,1762,1999
1999-05-06,40,714,1999
1999-04-22,70,1003,1999
1999-03-25,52,5689,1999
1999-05-20,37,291,1999
1999-05-20,46,1142,1999
1999-05-27,52,2080,1999
1999-04-15,41,2078,1999
1999-04-29,32,210,1999
1999-04-22,47,2704,1999
1999-05-06,39,1560,1999
1999-05-27,38,799,1999
1999-04-08,49,2750,1999
1999-03-25,38,2223,1999
2000-06-08,74,2123,2000
2000-05-04,67,4082,2000
2000-06-29,51,3427,2000
2000-06-29,53,2003,2000
2000-07-07,43,2364,2000
2000-05-04,44,3311,2000
2000-04-27,39,365,2000
2000-06-15,26,278,2000
2000-06-15,51,1799,2000
2000-07-07,39,2107,2000
2000-04-27,47,2466,2000
2000-05-10,27,203,2000
2000-06-08,40,1264,2000
2000-04-13,36,1218,2000
2000-06-15,50,1097,2000
2000-07-07,57,1623,2000
2000-05-15,54,177,2000
2000-06-01,63,1117,2000
2000-04-13,93,4613,2000
2000-05-12,55,618,2000
2000-04-13,74,1080,2000
2000-07-07,92,4308,2000
2000-05-18,60,260,2000
2000-05-04,55,1853,2000
2000-04-20,52,939,2000
2000-07-07,44,1796,2000
1999-11-18,39,4291,1999
1999-11-04,82,2251,1999
1999-11-11,26,735,1999
1999-11-04,190,7355,1999
1999-12-10,45,476,1999
1999-12-02,37,4126,1999
1999-11-04,34,294,1999
1999-10-28,67,1413,1999
1999-10-21,40,2299,1999
1999-11-18,48,1603,1999
1999-12-09,40,870,1999
1999-12-02,58,3154,1999
1999-12-10,122,5086,1999
1999-12-02,54,3109,1999
1999-10-21,46,750,1999
1999-12-02,49,1539,1999
1999-06-17,44,1733,1999
1999-06-24,27,208,1999
1999-07-27,64,221,1999
1999-09-23,14,77,1999
1999-09-09,27,375,1999
1999-10-14,35,609,1999
1999-09-09,27,397,1999
1999-10-07,38,3270,1999
1999-09-30,39,2811,1999
1999-09-30,35,553,1999
1999-06-17,56,4729,1999
1999-09-16,32,514,1999
1999-09-23,24,344,1999
1999-07-08,34,263,1999
1999-07-08,75,6035,1999
1999-06-10,48,1802,1999
1999-06-10,41,6522,1999
1999-09-16,18,74,1999
1999-09-16,38,374,1999
1999-06-10,39,2180,1999
1999-06-17,45,2100,1999
1999-07-15,38,292,1999
1999-06-24,20,1091,1999
1999-09-16,18,63,1999
1998-01-22,69,2590,1998
1998-01-29,37,234,1998
1998-01-22,43,2318,1998
1998-01-08,49,1680,1998
1998-02-19,39,501,1998
1998-01-15,40,2835,1998
1998-01-29,38,539,1998
1998-01-08,39,1268,1998
1998-02-19,67,3066,1998
1998-01-22,42,1684,1998
1998-01-08,53,3059,1998
1998-01-15,21,85,1998
1998-02-05,29,214,1998
1998-01-15,37,5810,1998
1998-02-19,33,1571,1998
1998-01-16,20,274,1998
1998-02-12,37,1303,1998
1998-07-16,27,176,1998
1998-07-16,47,184,1998
1998-07-16,27,90,1998
1998-09-24,30,1159,1998
1998-07-09,43,3559,1998
1998-10-15,37,222,1998
1998-07-09,74,445,1998
1998-09-24,27,44,1998
1998-09-18,28,175,1998
1998-07-09,30,1466,1998
1998-07-09,61,8062,1998
1998-10-01,56,1465,1998
1998-10-08,37,1222,1998
1998-07-09,76,1462,1998
1998-10-15,160,2257,1998
1998-09-24,26,316,1998
1998-09-18,27,142,1998
1998-10-22,53,1171,1998
1998-05-28,68,1924,1998
1998-06-25,43,1474,1998
1998-06-25,38,2747,1998
1998-05-21,30,206,1998
1998-06-25,41,4115,1998
1998-06-04,72,1677,1998
1998-05-14,60,4354,1998
1998-06-11,27,206,1998
1998-06-04,47,865,1998
1998-05-07,34,1778,1998
1998-06-18,36,1901,1998
1998-06-18,37,3048,1998
1998-06-11,38,1459,1998
1998-04-30,40,520,1998
1998-05-14,55,3281,1998
1997-05-05,45,1046,1997
1997-04-14,33,1323,1997
1997-05-27,27,379,1997
1997-05-27,38,190,1997
1997-05-27,44,3550,1997
1997-04-28,37,1158,1997
1997-04-07,40,443,1997
1997-05-27,47,2144,1997
1997-04-07,66,2313,1997
1997-04-14,65,592,1997
1997-04-14,28,169,1997
1997-04-28,42,785,1997
1997-05-12,56,2696,1997
1997-05-27,41,992,1997
1997-06-02,44,2233,1997
1997-05-05,51,3067,1997
1997-05-12,48,3757,1997
1997-05-05,27,94,1997
1997-04-28,41,1588,1997
1997-04-14,34,1231,1997
1997-04-21,42,1353,1997
1997-04-07,28,214,1997
1997-04-07,45,693,1997
1997-04-28,45,651,1997
1997-04-21,39,1083,1997
1997-04-07,37,3026,1997
1997-04-14,82,469,1997
1998-03-26,44,5682,1998
1998-03-12,39,4252,1998
1998-03-19,45,2924,1998
1998-03-19,27,293,1998
1998-04-16,35,974,1998
1998-04-16,27,95,1998
1998-04-16,48,1074,1998
1998-03-19,38,1245,1998
1998-02-26,27,91,1998
1998-03-05,45,1404,1998
1998-02-26,38,1724,1998
1998-04-16,37,1225,1998
1998-03-12,38,1705,1998
1998-03-05,39,746,1998
1998-03-05,123,1321,1998
1998-04-23,32,179,1998
1998-03-26,53,5424,1998
1998-03-05,33,720,1998
1998-03-19,26,93,1998
1996-06-03,39,436,1996
1996-06-24,46,747,1996
1996-06-03,31,417,1996
1996-09-16,37,139,1996
1996-06-03,30,934,1996
1996-09-09,28,116,1996
1996-07-08,45,2937,1996
1996-09-16,38,1993,1996
1996-07-01,38,2812,1996
1996-07-08,38,1260,1996
1996-09-09,27,94,1996
1996-07-15,60,997,1996
1996-06-24,40,795,1996
1996-07-15,98,3805,1996
1998-09-14,27,2841,1998
1998-07-16,33,2777,1998
1998-09-10,26,207,1998
1998-09-17,31,166,1998
1998-09-10,27,194,1998
1998-07-09,53,1679,1998
1998-07-02,26,599,1998
1998-09-24,37,3696,1998
1998-07-02,42,698,1998
1998-07-02,40,307,1998
1998-09-10,26,118,1998
1998-07-09,43,2040,1998
1998-10-01,26,218,1998
1998-10-08,37,1682,1998
1998-09-17,37,3158,1998
1998-07-02,45,515,1998
1998-09-24,26,500,1998
1998-10-15,30,1161,1998
1998-07-09,27,161,1998
1998-10-22,26,183,1998
1998-10-29,44,1572,1998
1998-09-24,80,2127,1998
1998-10-29,49,2931,1998
1998-10-29,52,4157,1998
1998-07-02,42,848,1998
1998-07-16,80,607,1998
1996-06-24,47,4011,1996
1996-07-15,53,3292,1996
1996-06-10,26,158,1996
1996-06-24,59,4804,1996
1996-09-09,45,153,1996
1833-02-01,29,705,1833
1898-04-30,1114,671,1898
1898-06-11,427,1101,1898
1898-06-11,364,518,1898
1898-03-19,785,669,1898
1898-03-05,518,480,1898
1898-10-29,303,1153,1898
1898-10-22,413,468,1898
1898-10-08,515,1400,1898
1898-04-30,1257,2097,1898
1898-07-09,393,4717,1898
1898-05-14,403,977,1898
1898-05-28,1874,1978,1898
1898-06-18,957,683,1898
1898-06-18,611,2024,1898
1898-10-22,332,1495,1898
1898-04-16,615,411,1898
1898-05-28,262,954,1898
1898-03-05,199,304,1898
1898-03-19,430,564,1898
1898-06-11,826,665,1898
1898-04-02,1798,2097,1898
1898-02-19,769,802,1898
1898-02-26,417,212,1898
1898-06-04,318,316,1898
1898-07-09,500,543,1898
1997-07-14,50,6660,1997
1998-05-21,46,1698,1998
1998-05-07,28,104,1998
1998-06-04,41,576,1998
1998-06-04,58,1246,1998
1998-05-07,91,1264,1998
1998-06-04,47,2481,1998
1998-06-11,29,185,1998
1998-06-25,69,2830,1998
1998-06-18,45,2759,1998
1998-05-14,36,2638,1998
1998-05-21,55,3042,1998
1998-05-28,58,2125,1998
1998-05-14,64,1605,1998
1998-04-30,38,166,1998
1998-04-30,38,1970,1998
1998-05-21,48,991,1998
1998-06-04,46,1194,1998
1998-05-21,49,1200,1998
1998-06-18,68,1279,1998
1998-05-14,55,1237,1998
2001-06-28,43,2268,2001
2001-05-31,38,4187,2001
2001-05-24,26,210,2001
2001-06-14,28,98,2001
2001-06-21,55,1765,2001
2001-06-21,46,1867,2001
2001-06-21,38,2550,2001
2001-07-09,27,114,2001
2001-06-14,38,2372,2001
2001-06-07,37,2305,2001
2001-07-09,40,1295,2001
2001-06-14,38,533,2001
2001-07-09,32,97,2001
2001-06-21,41,2317,2001
2001-07-09,37,4329,2001
2001-05-17,48,2520,2001
2001-06-28,49,1142,2001
2001-06-07,49,3514,2001
1997-09-18,37,1053,1997
1997-06-23,34,2631,1997
1997-07-07,29,1010,1997
1997-09-25,38,1098,1997
1997-06-09,27,131,1997
1997-06-09,53,3108,1997
1997-09-18,40,3866,1997
1997-06-30,39,4869,1997
1997-06-23,53,2099,1997
1997-09-25,38,2579,1997
1997-09-11,39,352,1997
1997-07-07,25,456,1997
1997-07-07,43,1037,1997
1997-06-30,39,2005,1997
1997-06-09,59,980,1997
1998-02-05,46,4583,1998
1998-02-12,28,119,1998
1998-01-22,37,2070,1998
1998-02-19,37,1495,1998
1998-01-29,38,1763,1998
1998-02-19,29,1238,1998
1998-02-18,45,2702,1998
1998-01-15,38,1133,1998
1998-03-26,45,911,1998
1998-02-26,37,1446,1998
1998-03-05,79,2299,1998
1998-03-05,27,96,1998
1998-03-26,40,713,1998
1998-04-09,45,1986,1998
1998-04-16,39,2510,1998
1998-04-23,51,438,1998
1998-03-26,58,1152,1998
1998-04-09,27,98,1998
1998-03-19,41,3311,1998
1998-04-22,48,1407,1998
1998-03-19,32,1939,1998
1998-03-12,48,2664,1998
1998-04-16,74,876,1998
1998-04-16,27,122,1998
1998-02-26,27,106,1998
1998-04-23,38,1469,1998
1998-03-05,27,240,1998
1998-02-26,28,365,1998
1998-03-26,28,409,1998
1997-06-03,27,244,1997
1997-04-28,39,536,1997
1997-05-27,42,4389,1997
1997-05-05,63,5450,1997
1997-04-21,41,2143,1997
1997-05-27,45,1145,1997
1997-04-14,28,348,1997
1997-04-14,39,1415,1997
1997-04-28,38,1364,1997
1997-05-05,39,3650,1997
1997-06-02,35,2216,1997
1997-05-05,39,3487,1997
1997-06-02,46,1310,1997
1997-05-27,46,1259,1997
1997-05-06,37,1275,1997
1997-04-14,27,70,1997
1997-04-07,37,2495,1997
1997-04-21,55,1626,1997
1997-04-21,62,1024,1997
1997-04-28,89,1891,1997
1997-04-21,46,1194,1997
1999-03-04,47,1511,1999
1999-01-21,56,2795,1999
1999-01-07,27,320,1999
1999-02-18,32,2517,1999
1999-02-04,75,1997,1999
1999-03-04,33,1015,1999
1999-03-11,50,2644,1999
1999-03-11,49,1204,1999
1999-01-28,26,200,1999
1999-02-25,37,936,1999
1999-02-11,66,2730,1999
1999-02-11,41,3946,1999
1999-03-11,37,941,1999
1997-09-11,31,103,1997
1997-09-25,38,3190,1997
1997-09-25,26,380,1997
1997-07-14,37,803,1997
1997-07-14,61,2233,1997
1997-09-11,36,378,1997
1997-06-16,32,98,1997
1999-07-01,50,1696,1999
1999-07-15,151,2490,1999
1999-07-22,34,2435,1999
1999-09-23,44,2826,1999
1999-09-16,30,188,1999
1999-09-23,72,2123,1999
1999-10-07,40,1543,1999
1999-10-07,24,600,1999
1999-10-14,65,2325,1999
1999-06-17,43,7254,1999
1999-09-09,28,107,1999
1999-09-16,26,650,1999
1999-07-15,52,4027,1999
1999-09-09,37,169,1999
1999-06-18,15,334,1999
1999-07-08,36,1961,1999
1999-06-30,28,444,1999
1999-07-01,89,1716,1999
1999-06-24,91,2380,1999
1999-09-23,26,827,1999
1999-06-24,15,66,1999
1999-06-17,68,1093,1999
1999-10-14,55,2523,1999
1999-09-30,27,375,1999
1999-06-24,39,1427,1999
1999-09-23,39,2281,1999
1997-10-02,36,379,1997
1997-10-30,56,922,1997
1997-10-30,39,1053,1997
1997-10-30,36,1289,1997
1997-11-13,45,882,1997
1997-10-30,51,3350,1997
1997-12-11,25,431,1997
1997-11-13,43,640,1997
1997-10-16,39,2022,1997
1997-11-20,45,2430,1997
1997-11-13,68,2028,1997
1997-12-19,24,77,1997
1997-12-18,38,1639,1997
1997-12-18,45,3672,1997
1997-10-02,63,2063,1997
1997-11-13,30,208,1997
1997-12-11,33,1425,1997
1997-10-09,59,3108,1997
1997-10-23,58,1311,1997
1997-10-16,47,1587,1997
1997-11-20,24,125,1997
1997-12-11,45,2335,1997
1997-10-30,25,692,1997
1997-10-09,28,208,1997
1997-10-30,38,597,1997
1997-12-11,43,1313,1997
1997-12-18,30,281,1997
1997-10-23,37,3523,1997
1997-10-09,38,2263,1997
1997-11-13,35,3616,1997
1997-11-06,54,1522,1997
1997-10-30,76,1283,1997
1898-05-07,1323,115,1898
1898-11-12,714,574,1898
1898-04-16,759,1119,1898
1898-03-19,439,2337,1898
1898-01-15,867,1212,1898
1898-03-05,731,1941,1898
1898-11-05,1615,3327,1898
1898-06-04,464,1114,1898
1898-04-16,359,839,1898
1898-04-23,895,3483,1898
1898-04-09,823,134,1898
1898-11-05,915,242,1898
1898-11-05,1196,2639,1898
1898-06-11,387,1477,1898
1898-07-09,822,634,1898
1898-05-28,416,991,1898
1898-02-05,822,364,1898
1898-06-04,665,541,1898
1898-03-12,770,1513,1898
1898-06-11,1123,2547,1898
1898-05-07,1242,448,1898
1856-01-01,115,1336,1856
1856-01-01,54,533,1856
1856-01-01,75,474,1856
1856-01-01,139,870,1856
1856-01-01,294,2508,1856
1856-01-01,209,1190,1856
1856-01-01,55,1979,1856
1856-01-01,262,5623,1856
1856-01-01,17,19,1856
1856-01-01,73,518,1856
1856-01-01,109,1948,1856
1856-01-01,49,301,1856
1856-01-01,412,9476,1856
1856-01-01,653,9225,1856
1856-01-01,175,1893,1856
1856-01-01,716,1927,1856
1856-01-01,477,3085,1856
1856-01-01,216,1558,1856
1856-01-01,345,3208,1856
1856-01-01,97,1072,1856
1856-01-01,218,3031,1856
1856-01-01,283,1124,1856
1856-01-01,80,230,1856
1856-01-01,9732,25799,1856
1856-01-01,264,1434,1856
1821-10-01,22,0,1821
1825-10-01,28,313,1825
1898-05-14,1375,281,1898
1898-04-02,188,595,1898
